subID	phase	f0	vtl	face	word	hands	button	RT 
j_02	test	-12	0.0	woman_4	Hoed	handremote_	2	3.679	
j_03	test	0	3.6	woman_7	Hoed	handremote_	2	4.649	
j_03	test	-6	1.8	woman_3	Pen	handbang_	1	5.551	
j_03	test	-12	0.0	woman_7	Vaak	handbang_	2	2.440	
j_03	test	0	3.6	man_5	Vaak	handremote_	1	2.901	
j_03	test	0	3.6	man_2	Leeg	handremote_	1	4.755	
j_03	test	-6	1.8	woman_5	Leeg	handbang_	1	2.284	
j_03	test	-6	0.0	man_1	Leeg	handbang_	1	3.435	
j_03	test	-12	0.0	woman_4	Leeg	handbang_	2	8.627	
j_03	test	-12	0.0	man_1	Pen	handremote_	1	3.658	
j_03	test	-6	0.0	woman_2	Pen	handbang_	1	1.596	
j_03	test	-12	3.6	woman_6	Pen	handremote_	2	2.689	
j_03	test	-6	1.8	man_1	Bus	handbang_	1	2.189	
j_03	test	-6	1.8	woman_1	Loop	handremote_	2	2.938	
j_03	test	0	1.8	man_4	Pen	handremote_	2	2.502	
j_03	test	-6	0.0	man_2	Bus	handremote_	1	3.580	
j_03	test	-12	1.8	woman_1	Vaak	handbang_	2	1.850	
j_03	test	0	0.0	man_5	Loop	handbang_	2	2.212	
j_03	test	-12	3.6	woman_5	Hoed	handremote_	2	1.814	
j_03	test	0	1.8	woman_6	Hoed	handbang_	1	2.117	
j_03	test	-6	3.6	man_2	Leeg	handbang_	1	2.942	
j_03	test	-12	1.8	man_3	Hoed	handremote_	1	2.314	
j_03	test	-12	1.8	man_3	Leeg	handbang_	1	3.831	
j_03	test	0	1.8	woman_3	Leeg	handbang_	1	2.377	
j_03	test	0	1.8	woman_7	Bus	handbang_	1	2.736	
j_03	test	0	3.6	man_6	Bus	handbang_	2	3.885	
j_03	test	0	3.6	woman_7	Pen	handbang_	1	5.471	
j_03	test	-6	3.6	man_7	Hoed	handbang_	1	1.814	
j_03	test	-6	1.8	woman_4	Vaak	handremote_	2	3.346	
j_03	test	0	0.0	man_1	Leeg	handremote_	2	4.221	
j_03	test	-12	1.8	man_4	Bus	handbang_	1	3.705	
j_03	test	-6	0.0	man_4	Hoed	handremote_	1	3.221	
j_03	test	-12	3.6	woman_6	Vaak	handremote_	2	2.974	
j_03	test	-12	0.0	woman_5	Bus	handbang_	2	2.834	
j_03	test	-6	3.6	man_3	Loop	handbang_	1	3.177	
j_03	test	-6	3.6	man_4	Pen	handremote_	1	4.514	
j_03	test	-12	1.8	woman_6	Loop	handbang_	2	3.412	
j_03	test	-12	3.6	woman_4	Bus	handremote_	2	2.830	
j_03	test	0	0.0	woman_5	Bus	handremote_	1	1.877	
j_03	test	-6	3.6	woman_2	Vaak	handbang_	2	2.705	
j_03	test	-6	3.6	man_7	Bus	handbang_	1	3.433	
j_03	test	-12	0.0	woman_3	Loop	handremote_	2	3.283	
j_03	test	0	3.6	woman_1	Loop	handremote_	2	4.158	
j_03	test	-6	0.0	woman_2	Loop	handbang_	1	4.465	
j_03	test	-6	1.8	man_6	Hoed	handbang_	1	2.751	
j_03	test	0	1.8	man_7	Loop	handremote_	1	2.283	
j_03	test	-12	1.8	man_6	Pen	handremote_	1	2.297	
j_03	test	0	1.8	man_6	Vaak	handbang_	1	3.003	
j_03	test	-12	3.6	man_5	Loop	handremote_	1	2.595	
j_03	test	-12	3.6	man_2	Leeg	handremote_	1	8.333	
j_03	test	0	0.0	woman_2	Pen	handbang_	1	2.674	
j_03	test	-6	0.0	man_7	Vaak	handremote_	1	2.750	
j_03	test	-12	0.0	woman_4	Hoed	handremote_	2	3.679	
j_04	test	0	3.6	woman_7	Hoed	handremote_	2	4.649	
j_04	test	-6	1.8	woman_3	Pen	handbang_	1	5.551	
j_04	test	-12	0.0	woman_7	Vaak	handbang_	2	2.440	
j_04	test	0	3.6	man_5	Vaak	handremote_	1	2.901	
j_04	test	0	3.6	man_2	Leeg	handremote_	1	4.755	
j_04	test	-6	1.8	woman_5	Leeg	handbang_	1	2.284	
j_04	test	-6	0.0	man_1	Leeg	handbang_	1	3.435	
j_04	test	-12	0.0	woman_4	Leeg	handbang_	2	8.627	
j_04	test	-12	0.0	man_1	Pen	handremote_	1	3.658	
j_04	test	-6	0.0	woman_2	Pen	handbang_	1	1.596	
j_04	test	-12	3.6	woman_6	Pen	handremote_	2	2.689	
j_04	test	-6	1.8	man_1	Bus	handbang_	1	2.189	
j_04	test	-6	1.8	woman_1	Loop	handremote_	2	2.938	
j_04	test	0	1.8	man_4	Pen	handremote_	2	2.502	
j_04	test	-6	0.0	man_2	Bus	handremote_	1	3.580	
j_04	test	-12	1.8	woman_1	Vaak	handbang_	2	1.850	
j_04	test	0	0.0	man_5	Loop	handbang_	2	2.212	
j_04	test	-12	3.6	woman_5	Hoed	handremote_	2	1.814	
j_04	test	0	1.8	woman_6	Hoed	handbang_	1	2.117	
j_04	test	-6	3.6	man_2	Leeg	handbang_	1	2.942	
j_04	test	-12	1.8	man_3	Hoed	handremote_	1	2.314	
j_04	test	-12	1.8	man_3	Leeg	handbang_	1	3.831	
j_04	test	0	1.8	woman_3	Leeg	handbang_	1	2.377	
j_04	test	0	1.8	woman_7	Bus	handbang_	1	2.736	
j_04	test	0	3.6	man_6	Bus	handbang_	2	3.885	
j_04	test	0	3.6	woman_7	Pen	handbang_	1	5.471	
j_04	test	-6	3.6	man_7	Hoed	handbang_	1	1.814	
j_04	test	-6	1.8	woman_4	Vaak	handremote_	2	3.346	
j_04	test	0	0.0	man_1	Leeg	handremote_	2	4.221	
j_04	test	-12	1.8	man_4	Bus	handbang_	1	3.705	
j_04	test	-6	0.0	man_4	Hoed	handremote_	1	3.221	
j_04	test	-12	3.6	woman_6	Vaak	handremote_	2	2.974	
j_04	test	-12	0.0	woman_5	Bus	handbang_	2	2.834	
j_04	test	-6	3.6	man_3	Loop	handbang_	1	3.177	
j_04	test	-6	3.6	man_4	Pen	handremote_	1	4.514	
j_04	test	-12	1.8	woman_6	Loop	handbang_	2	3.412	
j_04	test	-12	3.6	woman_4	Bus	handremote_	2	2.830	
j_04	test	0	0.0	woman_5	Bus	handremote_	1	1.877	
j_04	test	-6	3.6	woman_2	Vaak	handbang_	2	2.705	
j_04	test	-6	3.6	man_7	Bus	handbang_	1	3.433	
j_04	test	-12	0.0	woman_3	Loop	handremote_	2	3.283	
j_04	test	0	3.6	woman_1	Loop	handremote_	2	4.158	
j_04	test	-6	0.0	woman_2	Loop	handbang_	1	4.465	
j_04	test	-6	1.8	man_6	Hoed	handbang_	1	2.751	
j_04	test	0	1.8	man_7	Loop	handremote_	1	2.283	
j_04	test	-12	1.8	man_6	Pen	handremote_	1	2.297	
j_04	test	0	1.8	man_6	Vaak	handbang_	1	3.003	
j_04	test	-12	3.6	man_5	Loop	handremote_	1	2.595	
j_04	test	-12	3.6	man_2	Leeg	handremote_	1	8.333	
j_04	test	0	0.0	woman_2	Pen	handbang_	1	2.674	
j_04	test	-6	0.0	man_7	Vaak	handremote_	1	2.750	
j_04	test	-12	0.0	woman_4	Hoed	handremote_	2	3.679	
j_05	test	0	3.6	woman_7	Hoed	handremote_	2	4.649	
j_05	test	-6	1.8	woman_3	Pen	handbang_	1	5.551	
j_05	test	-12	0.0	woman_7	Vaak	handbang_	2	2.440	
j_05	test	0	3.6	man_5	Vaak	handremote_	1	2.901	
j_05	test	0	3.6	man_2	Leeg	handremote_	1	4.755	
j_05	test	-6	1.8	woman_5	Leeg	handbang_	1	2.284	
j_05	test	-6	0.0	man_1	Leeg	handbang_	1	3.435	
j_05	test	-12	0.0	woman_4	Leeg	handbang_	2	8.627	
j_05	test	-12	0.0	man_1	Pen	handremote_	1	3.658	
j_05	test	-6	0.0	woman_2	Pen	handbang_	1	1.596	
j_05	test	-12	3.6	woman_6	Pen	handremote_	2	2.689	
j_05	test	-6	1.8	man_1	Bus	handbang_	1	2.189	
j_05	test	-6	1.8	woman_1	Loop	handremote_	2	2.938	
j_05	test	0	1.8	man_4	Pen	handremote_	2	2.502	
j_05	test	-6	0.0	man_2	Bus	handremote_	1	3.580	
j_05	test	-12	1.8	woman_1	Vaak	handbang_	2	1.850	
j_05	test	0	0.0	man_5	Loop	handbang_	2	2.212	
j_05	test	-12	3.6	woman_5	Hoed	handremote_	2	1.814	
j_05	test	0	1.8	woman_6	Hoed	handbang_	1	2.117	
j_05	test	-6	3.6	man_2	Leeg	handbang_	1	2.942	
j_05	test	-12	1.8	man_3	Hoed	handremote_	1	2.314	
j_05	test	-12	1.8	man_3	Leeg	handbang_	1	3.831	
j_05	test	0	1.8	woman_3	Leeg	handbang_	1	2.377	
j_05	test	0	1.8	woman_7	Bus	handbang_	1	2.736	
j_05	test	0	3.6	man_6	Bus	handbang_	2	3.885	
j_05	test	0	3.6	woman_7	Pen	handbang_	1	5.471	
j_05	test	-6	3.6	man_7	Hoed	handbang_	1	1.814	
j_05	test	-6	1.8	woman_4	Vaak	handremote_	2	3.346	
j_05	test	0	0.0	man_1	Leeg	handremote_	2	4.221	
j_05	test	-12	1.8	man_4	Bus	handbang_	1	3.705	
j_05	test	-6	0.0	man_4	Hoed	handremote_	1	3.221	
j_05	test	-12	3.6	woman_6	Vaak	handremote_	2	2.974	
j_05	test	-12	0.0	woman_5	Bus	handbang_	2	2.834	
j_05	test	-6	3.6	man_3	Loop	handbang_	1	3.177	
j_05	test	-6	3.6	man_4	Pen	handremote_	1	4.514	
j_05	test	-12	1.8	woman_6	Loop	handbang_	2	3.412	
j_05	test	-12	3.6	woman_4	Bus	handremote_	2	2.830	
j_05	test	0	0.0	woman_5	Bus	handremote_	1	1.877	
j_05	test	-6	3.6	woman_2	Vaak	handbang_	2	2.705	
j_05	test	-6	3.6	man_7	Bus	handbang_	1	3.433	
j_05	test	-12	0.0	woman_3	Loop	handremote_	2	3.283	
j_05	test	0	3.6	woman_1	Loop	handremote_	2	4.158	
j_05	test	-6	0.0	woman_2	Loop	handbang_	1	4.465	
j_05	test	-6	1.8	man_6	Hoed	handbang_	1	2.751	
j_05	test	0	1.8	man_7	Loop	handremote_	1	2.283	
j_05	test	-12	1.8	man_6	Pen	handremote_	1	2.297	
j_05	test	0	1.8	man_6	Vaak	handbang_	1	3.003	
j_05	test	-12	3.6	man_5	Loop	handremote_	1	2.595	
j_05	test	-12	3.6	man_2	Leeg	handremote_	1	8.333	
j_05	test	0	0.0	woman_2	Pen	handbang_	1	2.674	
j_05	test	-6	0.0	man_7	Vaak	handremote_	1	2.750	
j_05	test	-12	0.0	woman_4	Hoed	handremote_	2	3.679	
j_06	test	0	3.6	woman_7	Hoed	handremote_	2	4.649	
j_06	test	-6	1.8	woman_3	Pen	handbang_	1	5.551	
j_06	test	-12	0.0	woman_7	Vaak	handbang_	2	2.440	
j_06	test	0	3.6	man_5	Vaak	handremote_	1	2.901	
j_06	test	0	3.6	man_2	Leeg	handremote_	1	4.755	
j_06	test	-6	1.8	woman_5	Leeg	handbang_	1	2.284	
j_06	test	-6	0.0	man_1	Leeg	handbang_	1	3.435	
j_06	test	-12	0.0	woman_4	Leeg	handbang_	2	8.627	
j_06	test	-12	0.0	man_1	Pen	handremote_	1	3.658	
j_06	test	-6	0.0	woman_2	Pen	handbang_	1	1.596	
j_06	test	-12	3.6	woman_6	Pen	handremote_	2	2.689	
j_06	test	-6	1.8	man_1	Bus	handbang_	1	2.189	
j_06	test	-6	1.8	woman_1	Loop	handremote_	2	2.938	
j_06	test	0	1.8	man_4	Pen	handremote_	2	2.502	
j_06	test	-6	0.0	man_2	Bus	handremote_	1	3.580	
j_06	test	-12	1.8	woman_1	Vaak	handbang_	2	1.850	
j_06	test	0	0.0	man_5	Loop	handbang_	2	2.212	
j_06	test	-12	3.6	woman_5	Hoed	handremote_	2	1.814	
j_06	test	0	1.8	woman_6	Hoed	handbang_	1	2.117	
j_06	test	-6	3.6	man_2	Leeg	handbang_	1	2.942	
j_06	test	-12	1.8	man_3	Hoed	handremote_	1	2.314	
j_06	test	-12	1.8	man_3	Leeg	handbang_	1	3.831	
j_06	test	0	1.8	woman_3	Leeg	handbang_	1	2.377	
j_06	test	0	1.8	woman_7	Bus	handbang_	1	2.736	
j_06	test	0	3.6	man_6	Bus	handbang_	2	3.885	
j_06	test	0	3.6	woman_7	Pen	handbang_	1	5.471	
j_06	test	-6	3.6	man_7	Hoed	handbang_	1	1.814	
j_06	test	-6	1.8	woman_4	Vaak	handremote_	2	3.346	
j_06	test	0	0.0	man_1	Leeg	handremote_	2	4.221	
j_06	test	-12	1.8	man_4	Bus	handbang_	1	3.705	
j_06	test	-6	0.0	man_4	Hoed	handremote_	1	3.221	
j_06	test	-12	3.6	woman_6	Vaak	handremote_	2	2.974	
j_06	test	-12	0.0	woman_5	Bus	handbang_	2	2.834	
j_06	test	-6	3.6	man_3	Loop	handbang_	1	3.177	
j_06	test	-6	3.6	man_4	Pen	handremote_	1	4.514	
j_06	test	-12	1.8	woman_6	Loop	handbang_	2	3.412	
j_06	test	-12	3.6	woman_4	Bus	handremote_	2	2.830	
j_06	test	0	0.0	woman_5	Bus	handremote_	1	1.877	
j_06	test	-6	3.6	woman_2	Vaak	handbang_	2	2.705	
j_06	test	-6	3.6	man_7	Bus	handbang_	1	3.433	
j_06	test	-12	0.0	woman_3	Loop	handremote_	2	3.283	
j_06	test	0	3.6	woman_1	Loop	handremote_	2	4.158	
j_06	test	-6	0.0	woman_2	Loop	handbang_	1	4.465	
j_06	test	-6	1.8	man_6	Hoed	handbang_	1	2.751	
j_06	test	0	1.8	man_7	Loop	handremote_	1	2.283	
j_06	test	-12	1.8	man_6	Pen	handremote_	1	2.297	
j_06	test	0	1.8	man_6	Vaak	handbang_	1	3.003	
j_06	test	-12	3.6	man_5	Loop	handremote_	1	2.595	
j_06	test	-12	3.6	man_2	Leeg	handremote_	1	8.333	
